Bankrupt?, Operating Gross Margin, Operating Profit Rate, Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Cash Flow Per Share, Revenue Per Share (Yuan ¥), Net profit before tax/Paid-in capital, Revenue per person, Working Capital to Total Assets, Cash/Total Assets, Cash/Current Liability, Inventory/Working Capital, Inventory/Current Liability, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Cash Flow to Total Assets, Net Income to Total Assets
1,0.601457213,0.998969203,0.000125697,0,0.458143144,0.000725073,0,0.311664427,0.01755978,0.137757334,0.034164182,0.672775292,0.004094406,0.000147336,0.276920158,0.00103599,0.903224771,0.002021613,0.064855708,0.637555395,0.716845343
1,0.610235086,0.998945978,0.000289785,0,0.461867257,0.000647065,0,0.318136804,0.021144335,0.168961617,0.006888651,0.751110917,0.014947727,0.00138391,0.289641576,0.005209682,0.931065218,0.002225608,0.02551586,0.641099985,0.795297136
1,0.601450006,0.998857353,0.00023613,25500000,0.458520587,0.000790079,0,0.307101931,0.005944008,0.148035593,0.02899696,0.829501915,0.000990944,5340000000,0.277455528,0.013878786,0.909903362,0.002060071,0.021387428,0.64276455,0.774669697
1,0.583541129,0.998699747,0.000107889,0,0.465705443,0.000449045,0,0.321673622,0.014368468,0.147560516,0.015463478,0.72575418,0.018850625,0.001010646,0.276580304,0.003540148,0.906902159,0.001831359,0.02416107,0.579039312,0.739554525
1,0.598783494,0.998973132,7890000000,0,0.462746282,0.000686069,0,0.319162481,0.029689792,0.167460976,0.058111423,0.751822452,0.014160974,0.000680464,0.287912653,0.00486857,0.913850197,0.00222393,0.026385246,0.622374075,0.795015873
1,0.590171378,0.998758098,0.00015715,0,0.465861453,0.000716072,0,0.325387282,0.01810427,0.137825202,0.021300471,0.686728646,0.002645226,0.000100856,0.276678474,0.004879131,0.903041267,0.001865609,0.040093622,0.637469772,0.710420495
0,0.619949841,0.998993121,0.000398483,730000000,0.461020105,0.000805081,0,0.316686709,0.030914893,0.127939069,0.011459542,0.729416462,0.022988598,0.001050312,0.276643292,0.002159349,0.911441408,0.002120736,0.092802307,0.630419077,0.736619098
0,0.601738278,0.999008951,9000000000,50900000,0.46702398,0.000630063,0.157607045,0.324114027,0.042560915,0.17951889,0.028077494,0.797005214,0.014615913,0.000888122,0.277275205,0.005755846,0.935449309,0.002359999,0.025482153,0.641553075,0.815350392
0,0.603612044,0.998960768,0.000168714,0,0.463142179,0.000737074,0.00587104,0.318773431,0.026604353,0.172158962,0.016382944,0.813737523,0.145189218,0.013190215,0.27708743,0.004384755,0.935200209,0.00227396,0.029884061,0.649869164,0.80364729
0,0.599208694,0.999000632,5820000000,0,0.470575308,0.000672067,0.392448628,0.330161986,0.078663581,0.175657944,0.033279967,0.825695871,0.008772791,0.000490883,0.277337461,0.010342955,0.938289897,0.002269196,0.035891062,0.643428364,0.804194657
0,0.614025858,0.998978447,0.000318116,1900000000,0.46481803,0.000549055,0,0.319162481,0.01553307,0.17761104,0.013894805,0.751204343,0.002056836,0.000335896,0.285100706,0.006735041,0.942828956,0.002337657,0.028802401,0.642949958,0.814110614
0,0.623711786,0.998975327,0.000476654,1210000000,0.465490719,0.00070307,0,0.319869845,0.011419151,0.171525526,0.01042551,0.769113889,0.020542229,0.002253735,0.277598529,0.00864994,0.932955215,0.002256752,0.05695228,0.644569792,0.804886953
0,0.608130702,0.999044887,0.00015715,0,0.464100048,0.000576058,0.185241421,0.321213836,0.024638141,0.173290099,0.03532453,0.760000222,0.058218001,0.003220041,0.278908415,0.006916066,0.930139635,0.00227305,0.028981565,0.62982715,0.803260161
